date,open,high,low,close
44475.00 ,51762.1,55373.1,50445.2,55108.2
44476.00 ,55103.4,55652.9,53470.9,54293.6
44477.00 ,54295.3,55994.7,53669.5,54190.7
44478.00 ,54189.9,55448.4,53721.8,54865.7
44479.00 ,54865.6,56447.1,54192.4,54866
44480.00 ,54834.3,57819.2,54411.9,57143.8
44481.00 ,57156.2,57634,54142.2,56046.7
44482.00 ,56058.6,57700.6,54284.2,57516.6
44483.00 ,57505.8,58510.9,56867.9,57758.2
44484.00 ,57762,62852.3,56890.8,61199.9
44485.00 ,61216.7,62331.5,60175.9,60704.2
44486.00 ,60677.5,61420.2,59083.8,60609.9
44487.00 ,60629.8,62618.2,59935.5,61780.1
44488.00 ,61779.5,64334.6,61440.8,64094.9
44489.00 ,64095.4,66961.2,63552.5,65813.1
44490.00 ,65811.3,66642.9,62284.9,62698.2
44491.00 ,62739.9,63716.1,60060.5,60414.8
44492.00 ,60395.8,61730.6,59745,61040.6
44493.00 ,61039.3,61479.2,59536.6,60964.8
44494.00 ,60967.6,63703.9,60660.2,62839.9
44495.00 ,62829.5,63279.4,60642.6,60734.6
44496.00 ,60828.7,61465.8,58154.7,58801.2
44497.00 ,58796.7,62194.1,58164.2,60732.6
44498.00 ,60726.8,62954.2,60316.8,62384.8
44499.00 ,62385.5,62473.5,60838.4,61503.5
44500.00 ,61490.4,62388.4,60041.9,61428.2
44501.00 ,61417.1,62470.2,59586.1,61140.2
44502.00 ,61134,64278.6,60691.1,62980
44503.00 ,62976.8,63543.1,61133.5,62811.4
44504.00 ,62810,63098.2,60769.4,61186.8
44505.00 ,61186.5,62610.4,60789.8,61133.9
44506.00 ,61121.7,61589.5,60132.7,61402.8
44507.00 ,61406.8,63097,61338.4,62832.6
44508.00 ,62841.1,66554.5,62814.1,66539.2
44509.00 ,66537,68501.6,66343,67305.1
44510.00 ,67304.6,68976.5,63526,65145.6
44511.00 ,65139.4,65578.6,64144.4,65210.9
44512.00 ,65207.1,65462.5,62322.1,63929
44513.00 ,63948.5,64963.6,63407.8,64258.6
44514.00 ,64285.3,65312.8,63634.9,64526.6
44515.00 ,64532.2,66334.8,63447.9,63962.9
44516.00 ,63969.4,63975.7,58798.3,60615.4
44517.00 ,60615.2,60830.9,58586.6,59992.1
44518.00 ,60004.9,60955.4,56614.6,56614.6
44519.00 ,56646.5,58395.5,55669.8,57906.8
44520.00 ,57890.7,59779.3,57483.8,59779.3
44521.00 ,59760,60046.7,58596.3,59160.1
44522.00 ,59179.1,59362.9,55698.9,56741.7
44523.00 ,56748.2,57880.7,55441.6,57586
44524.00 ,57588.6,57753.5,55902.3,57010.7
